property_id,sale_date,area_sqft,bedrooms,bathrooms,location_score,property_age,distance_city_km,near_school,near_metro,crime_rate_index,house_price_inr
200001,01-01-2014,2181,6,4,8.1,21,3.8,0,0,4.84,35154898
200002,01-12-2019,2383,5,4,5.3,28,10.9,1,1,2.89,26710893
200003,01-10-2016,1047,3,3,5.9,7,27.5,0,1,4.04,11216242
200004,01-03-2013,1753,4,3,7,27,12.1,0,0,3.28,21984310
200005,01-07-2013,1728,4,4,10,32,1.4,0,1,3.84,25080429
200006,01-09-2017,2555,5,3,3.2,25,20.6,0,0,5.63,19298164
200007,01-03-2017,2460,6,5,9,20,6.9,0,1,4.86,42510938
200008,01-04-2022,1880,3,3,6.3,19,10.6,1,1,2.52,19892683
200009,01-02-2019,1057,2,3,8.4,13,5.1,0,0,4.93,13052453
200010,01-07-2017,1022,4,3,5.3,59,16.5,1,1,4.9,9146947
200011,01-12-2018,1521,3,2,8.8,30,1,0,1,4.53,20760706
200012,01-08-2019,1272,2,2,3.5,7,13.8,0,0,0.54,10755029
200013,01-10-2020,1977,4,3,2.9,15,26.7,1,1,2.12,14795896
200014,01-12-2020,2400,4,3,7.1,30,13.5,1,0,5.23,32251580
200015,01-08-2018,1157,3,3,9.5,22,5.9,1,1,4.06,14615008
200016,01-06-2017,1134,3,2,6.3,27,8.5,1,0,9.85,12284878
200017,01-05-2016,2281,4,4,6.4,16,16.9,0,0,2.81,28457652
200018,01-03-2014,1952,4,3,6.7,15,17.2,1,1,5.57,23632881
200019,01-10-2010,1449,3,3,5.7,32,18.2,1,1,7.84,15998558
200020,01-12-2017,1771,3,2,6.9,18,19.4,0,0,0.5,23123981
200021,01-10-2022,622,2,2,9.6,17,6,1,1,4.27,10013911
200022,01-04-2010,1436,2,1,6,25,16.9,1,1,4.99,13445725
200023,01-11-2021,1595,3,2,9.9,15,4.8,1,1,3.43,24072054
200024,01-09-2017,1231,2,2,5.4,17,13.4,0,0,5.41,9848859
200025,01-06-2020,3345,7,5,7.2,13,11.7,1,1,0.61,46353919
200026,01-06-2016,3331,7,6,9.2,21,10,1,1,0.5,55218658
200027,01-09-2013,1126,2,2,8.3,18,5.6,1,1,4.31,12918395
200028,01-02-2022,1203,1,2,7.1,26,9.3,0,0,1.79,14731325
200029,01-12-2022,3230,7,5,7.9,19,13.3,1,1,6.19,50514830
200030,01-12-2015,2494,4,3,7,43,11.2,0,0,2.1,33938737
200031,01-02-2018,3604,7,6,8.7,44,10.7,0,1,6.34,49308274
200032,01-07-2018,1832,3,4,7.2,17,7.7,1,0,3.42,25959432
200033,01-07-2017,1473,4,3,5.4,19,15.9,1,0,2.83,17172316
200034,01-11-2015,1710,3,3,5.8,23,13.3,1,1,1.75,18812421
200035,01-02-2010,2567,5,5,4.7,48,17.2,1,1,4.57,25807574
200036,01-08-2021,1433,3,3,7,18,8.3,0,1,3.14,17340881
200037,01-06-2023,1865,4,4,8.1,15,15.8,1,0,4.8,27945825
200038,01-08-2010,2385,4,3,2.9,13,23.5,0,1,7.2,16352333
200039,01-08-2012,1083,1,1,5.3,24,14.6,1,0,5.29,10319105
200040,01-11-2018,1878,3,2,10,12,10.8,0,0,5.34,34407188
200041,01-08-2019,730,2,1,7.3,35,7.1,0,0,6.81,7693292
200042,01-08-2016,1716,4,3,5,14,14.5,0,0,1.73,17765552
200043,01-02-2014,1456,3,3,6,28,18,1,0,0.54,16761772
200044,01-05-2019,2390,6,5,8.3,15,10.2,1,1,8.27,40953578
200045,01-08-2017,2502,4,4,2.5,14,25.1,1,1,4.3,16080152
200046,01-04-2013,2090,4,2,6.2,13,16.3,0,1,6.98,27899411
200047,01-12-2013,2133,5,4,8.3,11,9.6,1,1,4.11,29448437
200048,01-08-2018,1638,3,2,4.5,9,14.7,1,0,3.28,16877461
200049,01-06-2013,647,2,3,4.7,22,25.1,0,0,0.58,6006314
200050,01-12-2010,1832,3,2,8.2,17,15.6,1,0,8.45,23681018
200051,01-11-2011,1947,6,6,8,24,14.2,0,1,2.71,25827288
200052,01-11-2010,2223,4,4,3.4,22,17.6,0,0,4.81,17748644
200053,01-01-2010,2149,5,4,4.2,2,16.7,1,1,5.75,18414658
200054,01-06-2016,2417,5,5,8.5,44,14.2,1,1,2.92,34535812
